INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (136891, 'Seguin', 'Benjamin', 'anais16@example.org', 'enseignant', 9, 2014-03-15);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (253379, 'Marty', 'Josette', 'baillyalice@example.com', 'administration', 4, 1945-03-23);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (167493, 'Maurice', 'Victoire', 'fernandessuzanne@example.com', 'enseignant', 3, 1965-08-16);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (267634, 'Boutin', 'Noël', 'veronique80@example.net', 'administration', 1, 1922-12-27);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (209342, 'Gillet', 'Adrien', 'jeanastrid@example.com', 'administration', 7, 2004-04-25);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (238611, 'Dupont', 'Marine', 'hmeyer@example.net', 'administration', 6, 1969-05-28);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (224502, 'Dos Santos', 'Sylvie', 'jacquelinemarchand@example.org', 'administration', 8, 1965-05-09);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (114136, 'Pereira', 'Lucie', 'andrevictoire@example.net', 'enseignant', 2, 1987-10-13);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (288939, 'Julien', 'Margaud', 'legermadeleine@example.net', 'administration', 10, 1939-07-30);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (255930, 'Hervé', 'Charles', 'agathe18@example.net', 'administration', 6, 1981-10-08);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (215085, 'Martin', 'Denise', 'noel77@example.com', 'administration', 5, 1935-03-05);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (256475, 'Schneider', 'Paulette', 'zacharieklein@example.net', 'etudiant', 10, 1985-05-31);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (234364, 'Colin', 'Thierry', 'omunoz@example.com', 'etudiant', 6, 2004-11-22);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (276036, 'Delannoy', 'Hugues', 'christine82@example.org', 'administration', 7, 1984-08-08);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (203107, 'Gallet', 'Océane', 'juliehoarau@example.com', 'administration', 10, 1999-09-27);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (213400, 'David', 'Marcelle', 'xlabbe@example.org', 'etudiant', 10, 2010-08-19);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (272281, 'Lopes', 'Victor', 'gilbert37@example.org', 'administration', 3, 1925-12-12);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (283914, 'Brun', 'Jérôme', 'etienneschneider@example.org', 'etudiant', 8, 1940-01-07);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (285644, 'Renaud', 'William', 'prevostclaire@example.net', 'administration', 5, 1953-01-09);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (175236, 'Gilles', 'Pauline', 'laetitia38@example.net', 'enseignant', 1, 1999-01-06);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (252587, 'Adam', 'Charles', 'jules86@example.net', 'etudiant', 9, 1990-09-02);
INSERT INTO utilisateur_valide (num_etudiant, nom, prenom, mail_utilisateur, role, id_universite,date_naissance) VALUES (105830, 'Leconte', 'Manon', 'evrardrichard@example.org', 'enseignant', 10, 2021-08-02);
